id,department,ageAtHire,hireYear,tenure,reason,gender,gradeAtHire,current
GCR1,Operational,46,2015,3,NA,F,2,TRUE
GCR2,Administrative,25,1991,2,resigned,M,1,FALSE
GCR3,Operational,51,1996,8,resigned,M,2,FALSE
GCR4,Operational,34,2013,5,NA,M,3,TRUE
GCR5,Administrative,26,2017,1,NA,F,2,TRUE
GCR6,Administrative,36,1994,4,resigned,M,2,FALSE
GCR7,Administrative,19,2012,0,resigned,F,1,FALSE
GCR8,Operational,54,2008,10,NA,M,3,TRUE
GCR9,Administrative,43,1982,13,resigned,M,3,FALSE
GCR10,Administrative,51,2002,14,retired,F,3,FALSE
GCR11,Administrative,20,1990,2,resigned,F,2,FALSE
GCR12,Administrative,31,1984,12,resigned,F,1,FALSE
GCR13,Administrative,41,1994,0,terminated,M,3,FALSE
GCR14,Operational,50,1982,0,resigned,M,1,FALSE
GCR15,Administrative,45,1991,1,resigned,F,4,FALSE
GCR16,Operational,45,2013,0,resigned,M,1,FALSE
GCR17,Administrative,42,2009,0,resigned,M,2,FALSE
GCR18,Operational,28,1995,23,NA,M,1,TRUE
GCR19,Operational,48,2006,6,terminated,M,2,FALSE
GCR20,Administrative,48,1989,2,resigned,F,1,FALSE
GCR21,Administrative,39,1983,6,resigned,M,2,FALSE
GCR22,Administrative,36,2002,16,NA,M,1,TRUE
GCR23,Administrative,45,2014,0,resigned,F,2,FALSE
GCR24,Administrative,19,2000,0,resigned,F,1,FALSE
GCR25,Operational,46,2000,18,NA,M,2,TRUE
GCR26,Operational,35,2003,11,resigned,M,1,FALSE
GCR27,Administrative,48,2000,2,resigned,M,1,FALSE
GCR28,Operational,49,2018,0,NA,M,3,TRUE
GCR29,Operational,30,1987,31,NA,M,2,TRUE
GCR30,Administrative,53,2012,0,resigned,M,3,FALSE
GCR31,Operational,29,1988,12,resigned,M,1,FALSE
GCR32,Operational,47,1984,10,terminated,M,1,FALSE
GCR33,Operational,36,2000,1,resigned,F,1,FALSE
GCR34,Operational,43,2008,10,NA,M,2,TRUE
GCR35,Operational,33,2015,3,NA,M,1,TRUE
GCR36,Administrative,30,1995,1,resigned,M,3,FALSE
GCR37,Administrative,54,2016,2,NA,M,2,TRUE
GCR38,Administrative,32,2006,2,resigned,M,3,FALSE
GCR39,Operational,42,1994,12,resigned,F,3,FALSE
GCR40,Operational,42,2003,4,terminated,F,1,FALSE
GCR41,Administrative,35,1992,0,resigned,F,2,FALSE
GCR42,Operational,50,2012,0,terminated,F,3,FALSE
GCR43,Operational,50,1998,0,resigned,M,2,FALSE
GCR44,Operational,30,2016,2,NA,F,1,TRUE
GCR45,Administrative,54,1996,0,resigned,F,5,FALSE
GCR46,Administrative,30,1989,4,resigned,M,2,FALSE
GCR47,Operational,18,1990,28,NA,M,1,TRUE
GCR48,Administrative,39,1998,3,resigned,M,3,FALSE
GCR49,Administrative,50,2008,0,resigned,M,2,FALSE
GCR50,Administrative,18,1988,30,NA,M,1,TRUE
GCR51,Operational,26,2012,0,resigned,M,2,FALSE
GCR52,Operational,46,1983,19,retired,F,3,FALSE
GCR53,Administrative,23,1988,27,resigned,M,2,FALSE
GCR54,Administrative,22,2005,5,resigned,M,1,FALSE
GCR55,Administrative,44,1994,8,terminated,F,2,FALSE
GCR56,Administrative,39,2013,0,resigned,F,1,FALSE
GCR57,Administrative,44,1985,0,resigned,M,3,FALSE
GCR58,Operational,41,1994,17,resigned,M,1,FALSE
GCR59,Administrative,56,1997,21,NA,M,3,TRUE
GCR60,Operational,34,1991,4,resigned,M,2,FALSE
GCR61,Operational,29,2001,4,resigned,F,2,FALSE
GCR62,Operational,40,1986,3,resigned,M,3,FALSE
GCR63,Administrative,29,2011,1,resigned,F,1,FALSE
GCR64,Administrative,35,2016,2,resigned,F,2,FALSE
GCR65,Administrative,40,1998,0,resigned,F,3,FALSE
GCR66,Operational,34,2000,18,resigned,M,1,FALSE
GCR67,Operational,47,2004,14,retired,M,3,FALSE
GCR68,Administrative,20,2004,0,terminated,F,2,FALSE
GCR69,Administrative,47,2004,5,resigned,F,1,FALSE
GCR70,Operational,33,2008,10,NA,M,1,TRUE
GCR71,Administrative,38,1985,9,resigned,M,2,FALSE
